scientific_name,TermTotalTrade,term
Grus grus,12,live
Guaiacum sanctum,12,sawn wood
Habenaria carnea,12,live
Heliofungia spp.,12,carvings
Heteropsammia cochlea,12,live
Hexaprotodon liberiensis,12,live
Hippocampus hippocampus,12,live
Laelia autumnalis,12,live
Leopardus pardalis,12,live
Lepidochelys olivacea,12,specimens
Leptastrea purpurea,12,live
Leptotes spp.,12,live
Leucocephalon yuwonoi,12,live
Lycaste skinneri,12,live
Macaca fuscata,12,live
Dendrobium arcuatum,11,live
Dendrobium chrysotoxum,11,cosmetics
Dendrobium cucumerinum,11,live
Dendrobium fytchianum,11,live
Dendrobium hasseltii,11,live
Dendrobium miyakei,11,live
Dendrobium purpureum,11,live
Dendrobium rhodostictum,11,live
Dioon edule,11,live
Dioon spinulosum,11,live
Diploastrea heliopora,11,raw corals
Diplocaulobium spp.,11,live
Dogania subplana,11,live
Dracula berthae,11,live
Dracula robledorum,11,live
Dracula severa,11,live
Dracula venosa,11,live
Dracula verticulosa,11,live
Dresslerella caesariata,11,live
Dryadella simula,11,live
Echinocereus adustus,11,live
Echinocereus sciurus,11,live
Echinopsis schickendantzii,11,live
Encyclia cyperifolia,11,live
Encyclia narajapatensis,11,live
Epidendrum rigidum,11,live
Equus grevyi,11,live
Equus zebra hartmannae,11,leather products (small)
Escobaria spp.,11,live
Euphorbia antisyphilitica,11,stems
Euphorbia clavigera,11,live
Euphorbia cylindrifolia,11,live
Euphorbia meloformis,11,live
Euphorbia polygona,11,live
Euphorbia silenifolia,11,live
Euphorbia spp.,11,stems
Euphorbia squarrosa,11,live
Falco subbuteo,11,live
Fungia spp.,11,carvings
Furcifer minor,11,live
Gastrodia elata,11,dried plants
Globicephala melas,11,specimens
Hippocampus spinosissimus,11,live
Laelia fidelensis,11,live
Laelia mixta,11,live
Laelia sanguiloba,11,live
Lama guanicoe,11,live
Lapemis curtus,11,skins
Liasis olivaceus,11,live
Loriculus stigmatus,11,live
Lynx lynx,11,bodies
Acanthastrea bowerbanki,11,raw corals
Acanthephippium spp.,11,live
Acineta spp.,11,live
Acipenser spp.,11,caviar
Acropora millepora,11,raw corals
Acropora palmerae,11,live
Acropora subglabra,11,live
Addax nasomaculatus,11,trophies
Aerides rosea,11,live
Ailuropoda melanoleuca,11,specimens
Alligator mississippiensis,11,skulls
Aloe arborescens,11,powder
Aloe capitata,11,live
Aloe deltoideodonta,11,live
Aloe descoingsii,11,live
Aloe ferox,11,medicine
Amazilia amazilia,11,live
Anas crecca,11,bodies
Angraecum elephantinum,11,live
Aquilaria crassna,11,timber
Aquilaria malaccensis,11,medicine
Ariocarpus agavoides,11,live
Barkeria spectabilis,11,live
Bletilla striata,11,derivatives
Boidae spp.,11,live
Brassia gireoudiana,11,live
Brassia jipijapensis,11,live
Brookesia therezieni,11,live
Bubalus arnee,11,horn carvings
Bulbophyllum ambrosia,11,live
Bulbophyllum fletcherianum,11,live
Bulbophyllum hirtum,11,live
Bulbophyllum rufinum,11,live
Calanthe triplicata,11,live
Catasetum cernuum,11,live
Catasetum ochraceum,11,live
Catasetum sanguineum,11,live
Caularthron bilamellatum,11,live
Cebus capucinus,11,live
Cheloniidae spp.,11,leather products (small)
Coelogyne hybrid,11,live
Coelogyne pulverula,11,live
Colobus guereza,11,live
Copiapoa hypogaea,11,live
Corallium japonicum,11,derivatives
Coryphantha cornifera,11,live
Crocodylus cataphractus,11,skins
Crocodylus novaeguineae,11,live
Ctenactis echinata,11,raw corals
Cuora galbinifrons,11,live
Cyatheaceae spp.,11,timber
Cycas thouarsii,11,live
Cymbidium cyperifolium,11,live
Cymbidium floribundum,11,live
Cyrtochilum hybrid,11,live
Daboia russelii,11,live
Dalbergia baronii,11,sawn wood
Dalbergia pinnata,11,wood product
Delphinapterus leucas,11,teeth
Mammillaria plumosa,11,seeds
Mammillaria varieaculeata,11,live
Masdevallia abbreviata,11,live
Masdevallia amanda,11,live
Masdevallia macrura,11,live
Masdevallia maxilimax,11,live
Masdevallia ova-avis,11,live
Microcoelia spp.,11,live
Micropera rostrata,11,live
Montipora undata,11,live
Mormodes andreettae,11,live
Mustela erminea ferghanae,11,skins
Neolloydia spp.,11,live
Nepenthes copelandii,11,live
Nepenthes eymae,11,live
Nepenthes tobaica,11,live
Oncidium baueri,11,live
Oncidium cheirophorum,11,live
Oncidium maculatum,11,live
Osteolaemus tetraspis,11,live
Otus kennicottii,11,live
Pachyseris speciosa,11,live
Panax quinquefolius,11,fibres
Panthera pardus,11,leather products (small)
Paphiopedilum ciliolare,11,live
Paphiopedilum randsii,11,live
Paphiopedilum superbiens,11,live
Paphiopedilum victoria-regina,11,live
Papilionanthe teres,11,derivatives
Papio cynocephalus,11,specimens
Pecari tajacu,11,skin pieces
Pelatantheria insectifera,11,live
Pelodiscus sinensis,11,eggs
Phalaenopsis appendiculata,11,live
Phelsuma guttata,11,live
Phelsuma kochi,11,live
Philantomba monticola,11,skins
Philantomba monticola,11,skulls
Pilosocereus azulensis,11,live
Platycercus elegans,11,specimens
Platygyra daedalea,11,live
Platystele hirtzii,11,live
Pleurothallis condorensis,11,live
Porroglossum andreettae,11,live
Porroglossum dreisei,11,live
Porroglossum schramii,11,live
Proteles cristata,11,skulls
Python breitensteini,11,leather products (large)
Pyxis arachnoides,11,live
Rhacodactylus ciliatus,11,live
Rhea americana,11,leather items
Rhea americana,11,shoes
Rhea americana,11,skins
Rhea americana albescens,11,skin pieces
Rhipsalis pachyptera,11,live
Rhipsalis teres,11,stems
Rhipsalis trigona,11,live
Rhyticeros plicatus,11,live
Rudolfiella aurantiaca,11,live
Sanzinia madagascariensis,11,live
Smaug mossambicus,11,live
Sphaeropteris medullaris,11,derivatives
Sphaeropteris medullaris,11,extract
Stanhopea panamensis,11,live
Sternbergia lutea,11,roots
Syrmaticus ellioti,11,live
Syrmaticus mikado,11,live
Tainia spp.,11,live
Terathopius ecaudatus,11,live
Testudo kleinmanni,11,live
Thaumastura cora,11,live
Trias nasuta,11,live
Trichopilia rostrata,11,live
Trichopilia tortilis,11,live
Turbinicarpus hoferi,11,seeds
Vanilla aphylla,11,live
Varanus indicus,11,skins
Varanus spp.,11,meat
Scaphirhynchus platorynchus,10,caviar
Schomburgkia superbiens,10,live
Sigmatostalix amazonica,10,live
Sigmatostalix minax,10,live
Sigmatostalix picturatissima,10,live
Sphaeropteris glauca,10,dried plants
Stanhopea tricornis,10,live
Strombus gigas,10,bodies
Strombus gigas,10,jewellery
Tapirus indicus,10,live
Tauraco leucotis,10,live
Trichoceros muralis,10,live
Trichopilia concepcionis,10,live
Trigonidium obtusum,10,live
Tyto alba,10,specimens
Ursus americanus,10,hair products
Vanda brunnea,10,live
Warmingia spp.,10,live
Xenochrophis piscator,10,live
Ziphius cavirostris,10,specimens
Zygostates pellucida,10,live
Zygostates pustulata,10,live
Acineta erythroxantha,10,live
Acipenser persicus,10,meat
Acipenser transmontanus,10,cosmetics
Acropora echinata,10,raw corals
Acropora loisetteae,10,live
Acropora nasuta,10,raw corals
Acropora speciosa,10,live
Adelphobates galactonotus,10,live
Aerangis curnowiana,10,live
Aloe bella,10,live
Aloe thraskii,10,live
Angraecum equitans,10,live
Angraecum rutenbergianum,10,live
Angraecum teretifolium,10,live
Anguloa dubia,10,live
Ansellia africana,10,live
Aquilaria crassna,10,carvings
Ara chloropterus,10,feathers
Ariocarpus spp.,10,live
Aspasia silvana,10,live
Aspasia variegata,10,live
Balaenoptera acutorostrata,10,baleen
Balaenoptera edeni,10,skin pieces
Barnardius zonarius,10,specimens
Beaucarnea recurvata,10,live
Bhutanitis thaidina,10,bodies
Blossfeldia liliputana,10,live
Brachycorythis helferi,10,live
Broughtonia negrilensis,10,live
Bulbophyllum longiflorum,10,live
Bulbophyllum makoyanum,10,live
Bulbophyllum rothschildianum,10,live
Bulbophyllum smitinandii,10,live
Buteo jamaicensis,10,feathers
Buteo regalis,10,live
Caiman crocodilus fuscus,10,live
Calanthe reflexa,10,live
Canis lupus,10,bones
Catasetum atratum,10,live
Ceratocentron fesselii,10,live
Cercopithecus nictitans,10,live
Cereus spegazzinii,10,live
Cereus trigonodendron,10,live
Chelonia mydas,10,leather items
Cheloniidae spp.,10,oil
Chysis laevis,10,live
Cischweinfia parva,10,live
Coelogyne xyrekes,10,live
Colobus guereza,10,trophies
Crinifer piscator,10,live
Crocodylia spp.,10,leather products (large)
Crocodylus siamensis,10,specimens
Crocodylus spp.,10,leather items
Cyathea australis,10,live
Cyatheaceae spp.,10,timber pieces
Cycnoches hybrid,10,live
Cymbidium mastersii,10,live
Cypripedium formosanum,10,live
Cyrtochilum macranthum,10,live
Dactylorhiza spp.,10,live
Dalbergia baronii,10,carvings
Dalbergia baronii,10,wood product
Dalbergia stevensonii,10,sawn wood
Damaliscus lunatus,10,skin pieces
Dendrobium atroviolaceum,10,live
Dendrobium bensoniae,10,live
Dendrobium chrysotoxum,10,extract
Dendrobium lineale,10,live
Dendrobium schuetzei,10,live
Diceros bicornis,10,horns
Diceros bicornis,10,specimens
Dracaena guianensis,10,skins
Dryandra formosa,10,flowers
Echinopsis calorubra,10,live
Encephalartos heenanii,10,live
Encephalartos spp.,10,seeds
Encyclia chloroleuca,10,live
Encyclia guatemalensis,10,live
Encyclia prismatocarpa,10,live
Encyclia pygmaea,10,live
Epidendrum echinatum,10,live
Epidendrum marmoratum,10,live
Eriosyce napina,10,live
Eubalaena australis,10,specimens
Eulemur macaco,10,live
Eunectes murinus,10,leather products (small)
Eunectes notaeus,10,skin pieces
Euphorbia abdelkuri,10,live
Euphorbia ambovombensis,10,live
Euphorbia phosphorea,10,live
Euphyllia paradivisa,10,raw corals
Falco mexicanus,10,live
Galago senegalensis,10,live
Gallus sonneratii,10,live
Gastrochilus calceolaris,10,live
Gongora pleiochroma,10,live
Gongora rufescens,10,live
Gorilla gorilla,10,live
Grosourdya appendiculata,10,live
Halomitra spp.,10,raw corals
Kobus leche,10,horns
Lagonosticta larvata,10,live
Leopardus geoffroyi,10,skins
Lepanthes deleastes,10,live
Lepanthes jubata,10,live
Leptailurus serval,10,skulls
Leuchtenbergia principis,10,seeds
Loxodonta africana,10,leather
Loxodonta africana,10,sets of piano keys
Lycaste fulvescens,10,live
Lycaste lanipes,10,live
Macaca fascicularis,10,bones
Macaca sylvanus,10,live
Masdevallia anfracta,10,live
Masdevallia antonii,10,live
Masdevallia caudivolvula,10,live
Masdevallia chontalensis,10,live
Masdevallia cinnamomea,10,live
Masdevallia corderoana,10,live
Masdevallia cyclotega,10,live
Masdevallia hercules,10,live
Masdevallia hoeijeri,10,live
Masdevallia hortensis,10,live
Masdevallia purpurella,10,live
Masdevallia tonduzii,10,live
Masdevallia tubulosa,10,live
Masdevallia venus,10,live
Masdevallia weberbaueri,10,live
Masdevallia zahlbruckneri,10,live
Matucana spp.,10,live
Maxillaria cucullata,10,live
Maxillaria grandis,10,live
Maxillaria perryae,10,live
Maxillaria pseudoreichenheimiana,10,live
Meiracyllium spp.,10,live
Mellivora capensis,10,skins
Melocactus neryi,10,live
Melocactus violaceus,10,live
Mesospinidium spp.,10,live
Mexicoa ghiesbrechtiana,10,live
Montipora monasteriata,10,live
Montipora tuberculosa,10,live
Mustela erminea ferghanae,10,garments
Nasua nasua,10,live
Necrosyrtes monachus,10,live
Neomoorea spp.,10,live
Nepenthes boschiana,10,live
Nepenthes khasiana,10,live
Nepenthes stenophylla,10,live
Oeceoclades maculata,10,live
Oophaga histrionica,10,live
Opuntia ficus-indica,10,extract
Orchidaceae spp.,10,extract
Orchis spp.,10,live
Oreopsittacus arfaki,10,live
Ortegocactus macdougallii,10,live
Pachypodium namaquanum,10,live
Panthera tigris,10,claws
Paphiopedilum barbigerum,10,live
Paphiopedilum mastersianum,10,live
Paphiopedilum purpuratum,10,live
Parodia herteri,10,graft rootstocks
Parodia langsdorfii,10,live
Pediocactus peeblesianus,10,live
Phalaenopsis cochlearis,10,live
Phalaenopsis maculata,10,live
Phalaenopsis modesta,10,live
Phelsuma abbotti,10,live
Phragmipedium caricinum,10,live
Pilosocereus pentaedrophorus,10,live
Pleione humilis,10,live
Polyplectron malacense,10,live
Porites spp.,10,specimens
Propithecus diadema,10,specimens
Pseudois nayaur,10,trophies
Psilopsiagon aurifrons,10,live
Psittaciformes spp.,10,feathers
Pterocarpus erinaceus,10,timber
Puma yagouaroundi,10,live
Pyrrhura molinae,10,specimens
Python molurus molurus,10,live
Python reticulatus,10,carvings
Python spp.,10,skins
Ranitomeya amazonica,10,live
Ranitomeya sirensis,10,live
Renanthera matutina,10,live
Renantherella histrionica,10,live
Rhinoceros unicornis,10,carvings
Rhinoceros unicornis,10,horn carvings
Rhipsalis micrantha,10,live
Rhipsalis pulchra,10,live
Robiquetia succisa,10,live
Mammillaria densispina,9,live
Mammillaria dixanthocentron,9,live
Mammillaria picta,9,live
Mammillaria wrightii,9,live
Mantella milotympanum,9,live
Masdevallia angulifera,9,live
Masdevallia bicornis,9,live
Masdevallia campyloglossa,9,live
Masdevallia cardiantha,9,live
Masdevallia carruthersiana,9,live
Masdevallia eumeliae,9,live
Masdevallia idae,9,live
Masdevallia macropus,9,live
Masdevallia platyglossa,9,live
Masdevallia sanchezii,9,live
Masdevallia stenorhynchos,9,live
Masdevallia venatoria,9,live
Masdevallia virgo-cuencae,9,live
Mauremys reevesii,9,medicine
Maxillaria lehmannii,9,live
Mellivora capensis,9,skulls
Mustela sibirica,9,skin pieces
Myrmecophila thomsoniana,9,live
Naja naja,9,garments
Naja sputatrix,9,shoes
Nanger dama,9,live
Neogardneria spp.,9,live
Nepenthes macrovulgaris,9,live
Nepenthes singalana,9,live
Nepenthes villosa,9,live
Notochelys platynota,9,live
Odobenus rosmarus,9,bone carvings
Oncidium incurvum,9,live
Ophidion spp.,9,live
Opuntia fragilis,9,live
Oryx dammah,9,skins
Ovis ammon,9,skins
Oxypora glabra,9,live
Pachypodium rutenbergianum,9,live
Paphiopedilum dayanum,9,live
Paphiopedilum lawrenceanum,9,live
Papilionanthe uniflora,9,live
Paroaria coronata,9,live
Pectinia paeonia,9,live
Pelecyphora aselliformis,9,live
Pelusios castaneus,9,live
Phalaenopsis corningiana,9,live
Phelsuma modesta,9,live
Phoenicopterus chilensis,9,live
Phyllobates bicolor,9,live
Physeter macrocephalus,9,wax
Pleione maculata,9,live
Pleurothallis aspergillum,9,live
Pleurothallis hybrid,9,live
Pongo abelii,9,live
Prionailurus bengalensis,9,leather products (large)
Pyrrhura hoffmanni,9,live
Quercus mongolica,9,timber
Restrepia lansbergii,9,live
Restrepia nittiorhyncha,9,live
Restrepiopsis spp.,9,live
Rhipsalis pilocarpa,9,stems
Rhizotrochus typus,9,live
Rhynchostele cervantesii,9,live
Rhynchostele maculata,9,live
Rhynchostele uroskinneri,9,live
Rodrigueziella spp.,9,live
Saguinus fuscicollis,9,live
Saguinus mystax,9,live
Sarcanthus spp.,9,live
Sarcochilus hartmannii,9,live
Acampe rigida,9,live
Accipiter nisus,9,bodies
Acipenser gueldenstaedtii,9,derivatives
Acipenser nudiventris,9,eggs
Acropora lokani,9,live
Acropora palifera,9,live
Acropora roseni,9,live
Acropora spp.,9,carvings
Acropora vermiculata,9,live
Aegypius monachus,9,live
Aerangis punctata,9,live
Aerides leeana,9,live
Agave spp.,9,live
Aloe ferox,9,cosmetics
Aloe ferox,9,dried plants
Aloe ferox,9,timber pieces
Aloe haworthioides,9,live
Aloe laeta,9,live
Aloe pillansii,9,live
Amesiella monticola,9,live
Anas clypeata,9,live
Angraecum bicallosum,9,live
Angraecum calceolus,9,live
Angraecum obesum,9,live
Anguloa ruckeri,9,live
Anneliesia russelliana,9,live
Anoectochilus sikkimensis,9,live
Anthropoides paradiseus,9,live
Antilope cervicapra,9,skins
Aotus trivirgatus,9,live
Aquilaria crassna,9,extract
Arapaima gigas,9,skins
Ascocentrum pumilum,9,live
Ascocentrum pusillum,9,live
Asio flammeus,9,live
Ateles geoffroyi,9,live
Australogyra zelli,9,live
Balanophyllia spp.,9,live
Barkeria spp.,9,live
Boa constrictor,9,leather products (large)
Boa constrictor,9,skin pieces
Boidae spp.,9,shoes
Brachtia spp.,9,live
Brachypelma vagans,9,live
Brassavola martiana,9,live
Bulbophyllum binnendijkii,9,live
Bulbophyllum careyanum,9,live
Bulbophyllum corolliferum,9,live
Bulbophyllum dayanum,9,live
Bulbophyllum dentiferum,9,live
Bulbophyllum inunctum,9,live
Bulbophyllum lemniscatoides,9,live
Bulbophyllum lindleyanum,9,live
Bulbophyllum muscarirubrum,9,live
Bulbophyllum repens,9,live
Bulbophyllum reticulatum,9,live
Bulbophyllum taeniophyllum,9,live
Bulbophyllum triste,9,live
Caiman crocodilus fuscus,9,skin scraps
Calanthe aristulifera,9,live
Calanthe formosana,9,live
Caracara plancus,9,live
Caretta caretta,9,live
Cattleya spp.,9,cultures
Cattleya tenuis,9,live
Cebus albifrons,9,live
Cephalophus spp.,9,trophies
Ceratotherium simum,9,feet
Ceratotherium simum,9,skin pieces
Ceratotherium simum,9,skulls
Ceratotherium simum,9,tails
Ceratotherium simum simum,9,skulls
Cereus hybrid,9,live
Cetacea spp.,9,specimens
Charmosyna josefinae,9,live
Chysis aurea,9,live
Cibotium barometz,9,derivatives
Cleisostoma crassifolium,9,live
Cleisostoma simondii,9,live
Clowesia dodsoniana,9,live
Coelogyne barbata,9,live
Colibri coruscans,9,live
Columba guinea,9,live
Crocodylus acutus,9,leather items
Crocodylus johnstoni,9,bodies
Crocodylus niloticus,9,carvings
Crotalus durissus,9,live
Cyathea spp.,9,sawn wood
Cycas siamensis,9,live
Cylindropuntia imbricata,9,live
Cymbidium bicolor,9,live
Cyphastrea ocellina,9,live
Cypripedium calceolus,9,live
Cypripedium macranthos,9,live
Cypripedium parviflorum,9,live
Cyrtochilum cumandae,9,live
Dalbergia nigra,9,sawn wood
Dalbergia spp.,9,carvings
Delphinapterus leucas,9,specimens
Sarkidiornis melanotos,9,trophies
Saussurea spp.,9,derivatives
Scaphosepalum beluosum,9,live
Scaphosepalum rapax,9,live
Schlumbergera orssichiana,9,live
Sclerocactus spp.,9,live
Sphaeropteris lepifera,9,timber
Sphyrna lewini,9,fins
Stanhopea insignis,9,live
Stilifolium stipitatum,9,live
Stylasteridae spp.,9,raw corals
Treron waalia,9,live
Trias picta,9,live
Trichoceros spp.,9,live
Trichoglossus euteles,9,live
Tridacna maxima,9,meat
Trioceros oweni,9,live
Trisetella hoeijeri,9,live
Troides plato,9,bodies
Tupinambis teguixin,9,garments
Turbinicarpus horripilus,9,live
Turbinicarpus roseiflorus,9,seeds
Turbinicarpus swobodae,9,live
Tursiops aduncus,9,specimens
Uebelmannia buiningii,9,seeds
Ursus americanus,9,leather products (small)
Vandopsis gigantea,9,live
Varanus glauerti,9,live
Varanus kordensis,9,live
Varanus salvator,9,jewellery
Varanus spp.,9,skin pieces
Vicugna vicugna,9,live
Vultur gryphus,9,live
Zygosepalum spp.,9,live
Dendrobium amoenum,9,live
Dendrobium exile,9,live
Dendrobium lasianthera,9,live
Dendrobium teretifolium,9,live
Dendrobium venustum,9,live
Diceros bicornis,9,carvings
Discocactus heptacanthus,9,live
Dracula deltoidea,9,live
Dracula diabola,9,live
Dracula minax,9,live
Dryadella pusiola,9,live
Echinocereus berlandieri,9,live
Echinocereus subinermis,9,live
Echinophyllia aspera,9,raw corals
Echinopsis mamillosa,9,live
Echinopsis pachanoi,9,stems
Encephalartos hirsutus,9,live
Encephalartos villosus,9,seeds
Encyclia aspera,9,live
Encyclia mooreana,9,live
Eos cyanogenia,9,live
Epidendrum spp.,9,specimens
Equus hemionus,9,live
Escobaria missouriensis,9,live
Eulemur fulvus,9,specimens
Eulophia spectabilis,9,live
Euphorbia groenewaldii,9,live
Euphorbia mayuranathanii,9,live
Euphorbia pulvinata,9,live
Euphorbia resinifera,9,live
Falco pelegrinoides,9,live
Felis bengalensis,9,plates
Furcifer balteatus,9,live
Gastrochilus japonicus,9,live
Gongora armeniaca,9,live
Gongora bufonia,9,live
Gongora grossa,9,live
Gongora histrionica,9,live
Gymnocalycium hossei,9,live
Gymnocalycium paediophilum,9,live
Heloderma horridum,9,live
Hippocampus algiricus,9,bodies
Homalopetalum pumilio,9,live
Kingidium deliciosum,9,live
Kinyongia boehmei,9,live
Laelia gouldiana,9,live
Laelia kautskyi,9,live
Lapemis curtus,9,plates
Lontra canadensis,9,trophies
Lophura edwardsi,9,live
Lophura swinhoii,9,live
Loxodonta africana,9,garments
Lycaste ciliata,9,live
Lynx rufus escuinapae,9,skins
Macaca arctoides,9,live
Dendrobium affine,8,live
Dendrobium ceraula,8,live
Dendrobium glomeratum,8,live
Dendrobium gouldii,8,live
Dendrobium gracilicaule,8,live
Dendrobium hybrid,8,cultures
Dendrobium junceum,8,live
Dendrobium keithii,8,live
Dendrobium laevifolium,8,live
Dendrobium longicornu,8,live
Dendrobium mutabile,8,live
Dendrobium panduriferum,8,live
Dendrobium peguanum,8,live
Dendrobium signatum,8,live
Diopsittaca nobilis,8,specimens
Diploria spp.,8,raw corals
Discocactus bahiensis,8,live
Discocactus bahiensis,8,seeds
Dracaena guianensis,8,leather products (small)
Echinocereus pulchellus,8,live
Echinocereus viereckii,8,live
Echinopora lamellosa,8,raw corals
Echinopsis maximiliana,8,live
Echinopsis obrepanda,8,live
Echinopsis spiniflora,8,live
Elaphe carinata,8,plates
Encephalartos aemulans,8,live
Encephalartos concinnus,8,live
Encephalartos ferox,8,seeds
Encephalartos longifolius,8,seeds
Encephalartos senticosus,8,live
Encyclia boothiana,8,live
Encyclia diurna,8,live
Encyclia ochracea,8,live
Encyclia widgrenii,8,live
Enicognathus leptorhynchus,8,live
Ephippiorhynchus senegalensis,8,live
Epicrates fordii,8,live
Epicrates subflavus,8,live
Epidendrum nutans,8,live
Equus zebra hartmannae,8,live
Escobaria dasyacantha,8,live
Eulophiella elisabethae,8,live
Eulychnia acida,8,carvings
Euphlyctis hexadactylus,8,meat
Euphorbia arida,8,live
Euphorbia hamata,8,live
Euphorbia mahafalensis,8,live
Euphorbia restricta,8,live
Euphorbia submammillaris,8,live
Euphyllia spp.,8,carvings
Falco peregrinus,8,specimens
Falco vespertinus,8,live
Favites abdita,8,raw corals
Felis manul,8,live
Geoffroyus geoffroyi,8,live
Gongora tridentata,8,live
Goniopora spp.,8,derivatives
Gonystylus spp.,8,wood product
Gorilla beringei,8,specimens
Goura scheepmakeri,8,live
Gymnocalycium uruguayense,8,live
Haliaeetus vocifer,8,live
Hippocampus trimaculatus,8,live
Homalopsis buccata,8,plates
Huntleya burtii,8,live
Huso huso x acipenser baerii,8,caviar
Hylocereus triangularis,8,live
Hypancistrus zebra,8,live
Iguana spp.,8,leather products (small)
Laelia blumenscheinii,8,live
Laelia tereticaulis,8,live
Leochilus spp.,8,live
Leontopithecus chrysomelas,8,live
Lepidochelys olivacea,8,bodies
Lepidozamia peroffskyana,8,live
Lepismium cruciforme,8,live
Lesbia nuna,8,live
Leucohyle subulata,8,live
Lockhartia imbricata,8,live
Lockhartia parthenocomos,8,live
Lontra canadensis,8,bodies
Lontra canadensis,8,skin pieces
Lorius domicella,8,live
Lycaste cinnabarina,8,live
Lycaste dyeriana,8,live
Lycaste hirtzii,8,live
Lycaste virginalis,8,live
Lynx lynx,8,specimens
Macaca fascicularis,8,bodies
Macaca nemestrina,8,specimens
Acanthastrea echinata,8,raw corals
Acipenser gueldenstaedtii x baerii,8,caviar
Acipenser stellatus,8,bodies
Acipenseridae spp.,8,extract
Acropora branchi,8,live
Acropora kosurini,8,live
Acropora macrostoma,8,live
Aerangis decaryana,8,live
Agapornis canus,8,specimens
Alligator sinensis,8,live
Aloe arborescens,8,extract
Aloe barberae,8,live
Alveopora spongiosa,8,raw corals
Anas bernieri,8,live
Angraecum compactum,8,live
Anguilla anguilla,8,skins
Aquilaria crassna,8,logs
Aquilaria malaccensis,8,stems
Arpophyllum spp.,8,live
Ascocentrum aurantiacum,8,live
Ascocentrum hybrid,8,live
Asio otus,8,bodies
Astrochelys radiata,8,live
Atretium schistosum,8,leather items
Balaeniceps rex,8,live
Balaenoptera physalus,8,meat
Barkeria uniflora,8,live
Borzicactus spp.,8,live
Bowenia serrulata,8,live
Brachypelma auratum,8,live
Brachypelma emilia,8,live
Brassavola cebolleta,8,live
Brassia signata,8,live
Bulbophyllum capillipes,8,live
Bulbophyllum clandestinum,8,live
Bulbophyllum concinnum,8,live
Bulbophyllum exaltatum,8,live
Bulbophyllum graveolens,8,live
Bulbophyllum guttulatum,8,live
Bulbophyllum mastersianum,8,live
Bulbophyllum mirum,8,live
Bulbophyllum ovalifolium,8,live
Bulbophyllum planibulbe,8,live
Bulbophyllum tricorne,8,live
Cacatua ophthalmica,8,live
Caiman crocodilus fuscus,8,meat
Caiman spp.,8,bodies
Cairina moschata,8,garments
Callithrix argentata,8,live
Calumma gastrotaenia,8,live
Calumma malthe,8,live
Calumma nasutum,8,live
Calyptorhynchus banksii,8,live
Canis aureus,8,trophies
Catasetum gladiatorium,8,live
Catasetum incurvum,8,live
Catasetum schunkei,8,live
Catreus wallichii,8,live
Ceratotherium simum simum,8,specimens
Ceratozamia spp.,8,live
Cetacea spp.,8,unspecified
Chlorocebus pygerythrus,8,specimens
Chondrorhyncha andreettae,8,live
Cleisocentron spp.,8,live
Cleisostoma discolor,8,live
Cleisostoma racemiferum,8,live
Cleistocactus ritteri,8,live
Cochleanthes candida,8,live
Coelogyne brachyptera,8,live
Coelogyne corymbosa,8,live
Coelogyne occultata,8,live
Coelogyne virescens,8,live
Conepatus humboldtii,8,garments
Corallium spp.,8,carvings
Cordylus rhodesianus,8,live
Cordylus vittifer,8,live
Corybas spp.,8,live
Corythaeola cristata,8,live
Crax alector,8,live
Crocodylia spp.,8,bodies
Crocodylia spp.,8,skin pieces
Crocodylia spp.,8,skulls
Crocodylus johnstoni,8,skins
Crocodylus moreletii,8,shoes
Crocodylus moreletii,8,specimens
Crocodylus niloticus,8,derivatives
Cuon alpinus,8,live
Cyatheaceae spp.,8,live
Cycas revoluta,8,seeds
Cycnoches barthiorum,8,live
Cycnoches chlorochilon,8,live
Cylindropuntia leptocaulis,8,live
Cymbidium erythrostylum,8,live
Cymbidium iridioides,8,live
Dalbergia nigra,8,veneer
Delphinapterus leucas,8,meat
Macrozamia communis,8,live
Mammillaria dioica,8,live
Mammillaria discolor,8,live
Mammillaria pennispinosa,8,live
Mammillaria petrophila,8,live
Mammillaria schwarzii,8,live
Mammillaria tonalensis,8,live
Manis pentadactyla,8,skins
Manta spp.,8,meat
Masdevallia ariasii,8,live
Masdevallia chuspipatae,8,live
Masdevallia discoidea,8,live
Masdevallia elephanticeps,8,live
Masdevallia fractiflexa,8,live
Masdevallia hartmanii,8,live
Masdevallia ingridiana,8,live
Masdevallia lehmannii,8,live
Masdevallia manchinazae,8,live
Masdevallia misasii,8,live
Masdevallia portillae,8,live
Masdevallia pteroglossa,8,live
Masdevallia triangularis,8,live
Masdevallia tridens,8,live
Masdevallia urosalpinx,8,live
Masdevallia vargasii,8,live
Masdevallia wageneriana,8,live
Matucana haynei,8,live
Maxillaria camaridii,8,live
Melocactus broadwayi,8,live
Microcebus murinus,8,specimens
Microsaccus griffithii,8,live
Microsaccus spp.,8,live
Mirounga leonina,8,specimens
Monodon monoceros,8,skulls
Montipora samarensis,8,live
Montipora spongodes,8,live
Mormolyca gracilipes,8,live
Mormolyca ringens,8,live
Mystacidium spp.,8,live
Naja naja,8,derivatives
Nasua narica,8,trophies
Neobenthamia spp.,8,live
Neofinetia spp.,8,live
Nepenthes eustachya,8,live
Nepenthes hookeriana,8,live
Nepenthes insignis,8,live
Odontochilus spp.,8,live
Oncidium lindenii,8,live
Opuntia sulphurea,8,live
Orchidaceae spp.,8,stems
