scientific_name,TermTotalTrade,term
Mammillaria spinosissima,560,live
Acipenser gueldenstaedtii,556,caviar
Pilosocereus spp.,553,live
Platygyra spp.,546,live
Quercus mongolica,545,logs
Amazona aestiva,545,live
Stylophora pistillata,544,live
Mammillaria hahniana,541,live
Loxodonta africana,540,carvings
Montastrea spp.,539,live
Fraxinus mandshurica,538,sawn wood
Ravenea rivularis,535,live
Euphyllia divisa,532,live
Varanus exanthematicus,529,live
Crocodylus niloticus,525,trophies
Favites abdita,523,live
Euphorbia milii,521,live
Python bivittatus,520,leather products (large)
Opuntia spp.,516,live
Goniopora spp.,513,raw corals
Amazona ochrocephala,513,live
Cycadaceae spp.,513,live
Fungia moluccensis,512,live
Cymbidium hybrid,511,live
Porites cylindrica,510,live
Python bivittatus,510,garments
Austrocylindropuntia subulata,507,live
Varanus salvator,501,leather products (large)
Heliofungia spp.,501,live
Odontoglossum spp.,500,live
Acropora formosa,496,live
Python bivittatus,494,shoes
Pocillopora verrucosa,493,live
Aloe variegata,490,live
Fungia paumotensis,487,live
Euphyllia paraancora,486,live
Varanus salvator,484,live
Tridacna maxima,483,live
Pocillopora damicornis,482,live
Masdevallia spp.,481,live
Loxodonta africana,481,leather products (small)
Papio ursinus,480,skulls
Espostoa lanata,478,live
Varanus niloticus,475,skins
Cacatua sulphurea,467,live
Crocodylus niloticus,464,garments
Parodia warasii,459,live
Psephotus haematonotus,454,live
Python breitensteini,454,leather products (small)
Dendrobium nobile,453,live
Aloe aristata,453,live
Acropora hyacinthus,449,live
Crocodylus siamensis,443,skins
Eunectes notaeus,441,leather products (small)
Lontra canadensis,440,skins
Moschus moschiferus,439,derivatives
Acropora humilis,438,live
Python curtus,437,leather products (small)
Euphyllia spp.,436,raw corals
Acipenser stellatus,434,eggs
Weberbauerocereus winterianus,433,live
Varanus salvator,432,leather items
Python reticulatus,431,live
Ara chloropterus,430,live
Crocodylus niloticus,430,skin pieces
Cacatua alba,429,live
Tridacna crocea,428,live
Canis lupus,426,trophies
Paphiopedilum hybrid,426,live
Tubipora spp.,425,live
Cheloniidae spp.,424,shoes
Porites spp.,422,raw corals
Miltonia hybrid,420,live
Elephas maximus,420,ivory carvings
Pachycereus pringlei,419,live
Trachyphyllia spp.,416,raw corals
Parodia magnifica,415,live
Caiman crocodilus crocodilus,413,skins
Amyda cartilaginea,412,live
Platycercus elegans,411,live
Cymbidium sinense,409,live
Astrophytum myriostigma,408,live
Cedrela odorata,402,sawn wood
Pavona spp.,402,live
Aloe aculeata,401,live
Euphorbia lactea,401,live
Ptyas mucosus,400,skins
Acipenser gueldenstaedtii,395,eggs
Caiman crocodilus fuscus,392,leather products (large)
Psittacula krameri,392,live
Aloe juvenna,390,live
Stetsonia coryne,386,live
Varanus niloticus,385,leather products (large)
Ursus maritimus,382,skins
Catalaphyllia spp.,381,raw corals
Espostoa guentheri,381,live
Ursus arctos,380,skins
Millepora spp.,380,live
Mammillaria zeilmanniana,379,live
Opuntia monacantha,374,live
Lynx canadensis,373,garments
Ptyas mucosus,371,leather items
Poicephalus senegalus,370,live
Acropora millepora,370,live
Alligator mississippiensis,364,specimens
Cacatua galerita,363,live
Daboia russelii,363,derivatives
Tubastraea coccinea,363,live
Pandinus imperator,362,live
Hippopotamus amphibius,361,teeth
Amazona amazonica,359,live
Aloe buhrii,356,live
Lobophyllia spp.,355,raw corals
Naja sputatrix,354,leather products (small)
Mammillaria rhodantha,352,live
Saussurea costus,352,derivatives
Heliofungia spp.,350,raw corals
Salvator rufescens,348,shoes
Dalbergia nigra,347,carvings
Serinus mozambicus,346,live
Tupinambis teguixin,345,skins
Nepenthes hybrid,345,live
Mammillaria bombycina,343,live
Acipenser gueldenstaedtii,342,extract
Aloe claviflora,342,live
Aloe ferox,342,extract
Damaliscus lunatus,342,trophies
Aloe microstigma,338,live
Aloe striata,338,live
Huso huso,337,eggs
Centrochelys sulcata,336,live
Caiman crocodilus fuscus,334,skin pieces
Scolymia spp.,333,live
Euphyllia paradivisa,331,live
Monodon monoceros,331,tusks
Oreocereus celsianus,330,live
Ferocactus latispinus,329,live
Herpolitha limax,329,live
Trichoglossus haematodus,327,live
Aratinga solstitialis,327,live
Chelonoidis carbonarius,322,live
Python sebae,322,leather products (small)
Fraxinus mandshurica,319,logs
Python bivittatus,318,live
Sobralia spp.,318,live
Echinopora spp.,317,live
Aloe dichotoma,316,live
Corallus caninus,316,live
Dalbergia spp.,316,wood product
Acipenser baerii,315,eggs
Acipenser persicus,315,eggs
Loxodonta africana,315,feet
Montastrea valenciennesi,315,live
Mycedium elephantotus,315,live
Gymnocalycium spp.,313,live
Alveopora spp.,308,live
Stigmochelys pardalis,308,live
Python reticulatus,308,skin pieces
Ornithoptera priamus,306,bodies
Canis lupus,306,skulls
Cactaceae hybrid,305,live
Panthera leo,304,skins
Antilope cervicapra,302,trophies
Grus canadensis,300,trophies
Cheloniidae spp.,298,carvings
Pionites melanocephalus,295,live
Plerogyra simplex,293,live
Python curtus,293,skins
Rhynchostylis gigantea,293,live
Ursus americanus,293,plates
Orchidaceae spp.,291,flowers
Bulbophyllum spp.,290,live
Euphyllia yaeyamaensis,290,live
Stelis spp.,290,live
Varanus niloticus,290,live
Pecari tajacu,289,leather products (small)
Pilosocereus chrysostele,289,live
Heliopora coerulea,289,live
Loxodonta africana,289,skin pieces
Eolophus roseicapilla,288,live
Cycas revoluta,288,leaves
Turbinaria spp.,286,raw corals
Galanthus nivalis,285,live
Eclectus roratus,283,live
Schlumbergera spp.,283,live
Aloe squarrosa,283,live
Panthera pardus,283,skins
Tridacna squamosa,282,live
Haliotis midae,278,live
Montastrea annuligera,277,live
Panthera tigris,276,live
Monodon monoceros,275,carvings
Myiopsitta monachus,275,live
Polaskia chichipe,275,live
Loxodonta africana,275,skins
Lonchura oryzivora,274,live
Porites nigrescens,274,live
Espostoa melanostele,273,live
Hippocampus kuda,272,live
Tubastraea spp.,272,raw corals
Laelia purpurata,271,live
Amadina fasciata,270,live
Damaliscus pygargus pygargus,268,trophies
Anguilla anguilla,267,meat
Tubipora spp.,265,raw corals
Aloe hybrid,261,live
Chamaeleo dilepis,261,live
Ovis ammon,261,trophies
Furcifer pardalis,261,live
Lycalopex griseus,260,skins
Corallus hortulanus,260,live
Pectinia lactuca,260,live
Oreocereus trollii,259,live
Rebutia fiebrigii,259,live
Troides rhadamantus,259,live
Aquilaria crassna,259,oil
Echinopora lamellosa,258,live
Uraeginthus bengalus,258,live
Aloe mitriformis,257,live
Astrophytum ornatum,257,live
Boa constrictor,257,shoes
Vicugna vicugna,255,cloth
Myrtillocactus geometrizans,255,live
Duncanopsammia axifuga,253,live
Epicrates cenchria,253,live
Echinopsis spp.,252,live
Ursus arctos,252,skulls
Gonystylus spp.,251,sawn wood
Acropora tenuis,251,live
Miltonia spp.,251,live
Neoraimondia herzogiana,250,live
Pericopsis elata,250,sawn wood
Strombus gigas,249,shells
Testudo horsfieldii,249,live
Stenocereus pruinosus,248,live
Puma concolor,246,trophies
Cleistocactus winteri,245,live
Ferocactus glaucescens,244,live
Fungia spp.,243,raw corals
Sarracenia purpurea,241,live
Mammillaria magnimamma,241,live
Oxypora spp.,241,live
Favia spp.,239,raw corals
Cuora amboinensis,239,live
Acipenser transmontanus,237,caviar
Varanus niloticus,235,skin pieces
Tupinambis spp.,233,leather products (small)
Python reticulatus,232,leather items
Moschus spp.,230,derivatives
Salvator rufescens,230,skins
Caiman crocodilus fuscus,227,leather items
Amazona farinosa,226,live
Morelia viridis,226,live
Panthera leo,226,live
Loxodonta africana,225,ivory pieces
Distichopora spp.,224,live
Chamaeleo senegalensis,224,live
Tupinambis teguixin,223,leather items
Varanus rudicollis,223,live
Eos rubra,223,live
Hirudo medicinalis,223,live
Phalaenopsis amabilis,222,live
Ptyas mucosus,222,garments
Tillandsia xerographica,222,live
Sarracenia spp.,221,live
Mustela sibirica,221,hair
Panthera pardus,220,skulls
Chamaeleo calyptratus,220,live
Caiman crocodilus crocodilus,219,leather products (large)
Phelsuma madagascariensis,219,live
Philantomba monticola,219,trophies
Zygopetalum spp.,218,live
Ferocactus pilosus,217,live
Pachycereus pecten-aboriginum,216,live
Elephantidae spp.,215,carvings
Ferocactus emoryi,213,live
Dalbergia latifolia,213,carvings
Euphorbia enopla,212,live
Physogyra spp.,212,live
Pecari tajacu,211,garments
Caiman crocodilus,211,skins
Symphyllia agaricia,211,live
Euphorbia hybrid,210,live
Huso dauricus x acipenser schrenckii,207,caviar
Morelia spilota,207,live
Diopsittaca nobilis,205,live
Tupinambis teguixin,205,live
Cattleya labiata,204,live
Amazona autumnalis,203,live
Mammillaria karwinskiana,203,live
Polyphyllia spp.,203,live
Puma concolor,201,skins
Cephalocereus senilis,201,live
Cynarina spp.,200,live
Scolymia australis,200,live
