year,name,trade_count
2000,Cacatua moluccensis,19
2000,Eclectus roratus,19
2000,Estrilda melpoda,19
2000,Favites abdita,19
2000,Hydnophora spp.,19
2000,Lontra canadensis,19
2000,Papio hamadryas,19
2000,Tubipora spp.,19
2000,Bubo virginianus,18
2000,Dendrophyllia spp.,18
2000,Dypsis decaryi,18
2000,Favites spp.,18
2000,Hydnophora rigida,18
2000,Mammillaria bocasana,18
2000,Mammillaria rhodantha,18
2000,Odobenus rosmarus,18
2000,Oreocereus celsianus,18
2000,Rebutia fiebrigii,18
2000,Scleropages formosus,18
2000,Tridacna crocea,18
2000,Aquilaria malaccensis,17
2000,Bletilla spp.,17
2000,Bubo bubo,17
2000,Caracal caracal,17
2000,Cattleya loddigesii,17
2000,Ceratotherium simum simum,17
2000,Cymbidium sinense,17
2000,Dendrobium aggregatum,17
2000,Echinopsis spp.,17
2000,Estrilda troglodytes,17
2000,Ferocactus spp.,17
2000,Fungia moluccensis,17
2000,Grus canadensis,17
2000,Haageocereus spp.,17
2000,Mammillaria bombycina,17
2000,Mammillaria saboae,17
2000,Merulina ampliata,17
2000,Myrtillocactus geometrizans,17
2000,Ornithoptera priamus,17
2000,Panthera tigris,17
2000,Vanda spp.,17
2000,Aloe arborescens,16
2000,Aloe suprafoliata,16
2000,Amandava subflava,16
2000,Cattleya mossiae,16
2000,Cerberus rynchops,16
2000,Elephantidae spp.,16
2000,Espostoa melanostele,16
2000,Euphorbia milii,16
2000,Pleurothallis spp.,16
2000,Rebutia spp.,16
2000,Tridacna squamosa,16
2000,Vidua macroura,16
2000,Amazona oratrix,15
2000,Cacatua leadbeateri,15
2000,Cephalocereus senilis,15
2000,Estrilda caerulescens,15
2000,Ferocactus latispinus,15
2000,Fungia paumotensis,15
2000,Hippocampus kuda,15
2000,Lepanthes spp.,15
2000,Pandinus imperator,15
2000,Parodia comarapana,15
2000,Parodia leninghausii,15
2000,Parodia schumanniana,15
2000,Pocillopora damicornis,15
2000,Prionailurus bengalensis,15
2000,Agapornis canus,14
2000,Aquila chrysaetos,14
2000,Echinocereus knippelianus,14
2000,Ferocactus wislizeni,14
2000,Herpolitha limax,14
2000,Hippopus hippopus,14
2000,Leptailurus serval,14
2000,Pericopsis elata,14
